,,Field,Day,Time,Level,Home,Away
,,Rec Center,Sun 8/27,4pm,AFL 11-14,Storm,Fury
,,Century Park1,Sun 8/27,5pm,AFL 11-14,Blaze,Avengers
,,Rec Center,Mon 8/28,6pm,NFC 5-7,Vikings,Buccaneers
,,Rec Center,Mon 8/28,7pm,AFL 11-14,Storm,Sharks
Reg Season,Week 6,Century Park1,Sat 9/2,10am,NFC 5-7,Cardinals,Bears
,,Century Park2,Sat 9/2,10am,NFC 5-7,Buccaneers,Vikings
,,Century Park1,Sat 9/2,11am,NFC 5-7,Eagles,Falcons
,,Century Park2,Sat 9/2,11am,AFC 8-10,Chargers,Broncos
,,Century Park1,Sat 9/2,12pm,AFC 8-10,Ravens,Raiders
,,Century Park2,Sat 9/2,12pm,AFC 8-10,Jets,Texans
,,Century Park1,Sat 9/2,1pm,AFC 8-10,Jaguars,Dolphins
,,Century Park2,Sat 9/2,1pm,AFC 8-10,Steelers,Bengals
,,Century Park1,Sat 9/2,2pm,AFL 11-14,Sharks,Avengers
,,Century Park2,Sat 9/2,2pm,AFL 11-14,Rattlers,Power
,,Century Park1,Sat 9/2,3pm,AFL 11-14,Rush,Fury
,,Century Park2,Sat 9/2,3pm,AFL 11-14,Thunder,Blaze
,,Century Park1,Sat 9/2,4pm,AFL 11-14,Storm,Outlaws
Reg Season,Week 7,Century Park1,Sat 9/9,10am,NFC 5-7,Falcons,Vikings
,,Century Park2,Sat 9/9,10am,NFC 5-7,Buccaneers,Cardinals
,,Rec Center,Sat 9/9,10am,NFC 5-7,Eagles,Bears
,,Century Park1,Sat 9/9,11am,AFC 8-10,Chargers,Steelers
,,Century Park2,Sat 9/9,11am,AFC 8-10,Jets,Ravens
,,Rec Center,Sat 9/9,11am,AFC 8-10,Bengals,Dolphins
,,Century Park1,Sat 9/9,12pm,AFL 11-14,Sharks,Rattlers
,,Century Park2,Sat 9/9,12pm,AFC 8-10,Raiders,Broncos
,,Rec Center,Sat 9/9,12pm,AFC 8-10,Texans,Jaguars
,,Century Park1,Sat 9/9,1pm,AFL 11-14,Power,Fury
,,Century Park2,Sat 9/9,1pm,AFL 11-14,Avengers,Storm
,,Rec Center,Sat 9/9,1pm,AFL 11-14,Rush,Thunder
,,Century Park1,Sat 9/9,2pm,AFL 11-14,Blaze,Outlaws
,,Rec Center,Mon 9/11,6pm,AFC 8-10,Jaguars,Jets
,,Rec Center,Mon 9/11,7pm,AFC 8-10,Ravens,Chargers
,,Rec Center,Mon 9/11,8pm,AFL 11-14,Rattlers,Rush
Reg Season,Week 8,Century Park1,Sat 9/16,10am,NFC 5-7,Vikings,Eagles
,,Century Park2,Sat 9/16,10am,NFC 5-7,Cardinals,Bears
,,Century Park1,Sat 9/16,11am,AFC 8-10,Bengals,Chargers
,,Century Park2,Sat 9/16,11am,NFC 5-7,Buccaneers,Falcons
,,Century Park1,Sat 9/16,12pm,AFC 8-10,Broncos,Texans
,,Century Park2,Sat 9/16,12pm,AFC 8-10,Raiders,Steelers
,,Century Park1,Sat 9/16,1pm,AFC 8-10,Ravens,Jaguars
,,Century Park2,Sat 9/16,1pm,AFC 8-10,Dolphins,Jets
,,Century Park1,Sat 9/16,2pm,AFL 11-14,Outlaws,Sharks
,,Century Park2,Sat 9/16,2pm,AFL 11-14,Power,Thunder
,,Century Park1,Sat 9/16,3pm,AFL 11-14,Rattlers,Storm
,,Century Park2,Sat 9/16,3pm,AFL 11-14,Fury,Avengers
,,Century Park1,Sat 9/16,4pm,AFL 11-14,Blaze,Rush
,,Rec Center,Mon 9/18,6pm,AFC 8-10,Broncos,Bengals
,,Rec Center,Mon 9/18,7pm,AFL 11-14,Fury,Blaze
Reg Season,Week 9,Century Park1,Sat 9/23,10am,NFC 5-7,Vikings,Cardinals
,,Century Park2,Sat 9/23,10am,NFC 5-7,Falcons,Eagles
,,Century Park1,Sat 9/23,11am,NFC 5-7,Bears,Buccaneers
,,Century Park2,Sat 9/23,11am,AFC 8-10,Dolphins,Steelers
,,Century Park1,Sat 9/23,12pm,AFC 8-10,Bengals,Ravens
,,Century Park2,Sat 9/23,12pm,AFC 8-10,Texans,Chargers
,,Century Park1,Sat 9/23,1pm,AFC 8-10,Raiders,Jaguars
,,Century Park2,Sat 9/23,1pm,AFC 8-10,Jets,Broncos
,,Century Park1,Sat 9/23,2pm,AFL 11-14,Blaze,Rattlers
,,Century Park2,Sat 9/23,2pm,AFL 11-14,Avengers,Rush
,,Century Park1,Sat 9/23,3pm,AFL 11-14,Outlaws,Thunder
,,Century Park2,Sat 9/23,3pm,AFL 11-14,Power,Storm
,,Century Park1,Sat 9/23,4pm,AFL 11-14,Sharks,Fury
Playoffs 1st Rd,Week 10,Rec Center,Tue 9/26,6pm,AFC 8-10,AFC 7 seed,AFC 10 seed
,,Rec Center,Tue 9/26,7pm,AFC 8-10,AFC 8 seed,AFC 9 seed
,,Rec Center,Wed 9/27,6pm,AFL 11-14,AFL 7 seed,AFL 10 seed
,,Rec Center,Wed 9/27,7pm,AFL 11-14,AFL 8 seed,AFL 9 seed
,,Century Park1,Sat 9/30,10am,NFC 5-7,NFC 3 seed,NFC 6 seed
,,Century Park2,Sat 9/30,10am,NFC 5-7,NFC 4 seed,NFC 5 seed
,,Century Park1,Sat 9/30,11am,AFC 8-10,AFC 1 seed,Lowest AFC
,,Century Park2,Sat 9/30,11am,AFC 8-10,AFC 2 seed,2nd Low AFC
,,Century Park1,Sat 9/30,12pm,AFC 8-10,AFC 3 seed,AFC 6 seed
,,Century Park2,Sat 9/30,12pm,AFC 8-10,AFC 4 seed,AFC 5 seed
,,Century Park1,Sat 9/30,1pm,AFL 11-14,AFL 1 seed,Lowest AFL
,,Century Park2,Sat 9/30,1pm,AFL 11-14,AFL 2 seed,2nd Low AFL
,,Century Park1,Sat 9/30,2pm,AFL 11-14,AFL 3 seed,AFL 6 seed
,,Century Park2,Sat 9/30,2pm,AFL 11-14,AFL 4 seed,AFL 5 seed
Playoffs 2nd Rd,Week 11,Century Park1,Sat 10/7,10am,NFC 5-7,NFC 1 Seed,NFC TBD
,,Century Park2,Sat 10/7,10am,NFC 5-7,NFC 2 Seed,NFC TBD
,,Century Park1,Sat 10/7,11am,AFC 8-10,AFC TBD,AFC TBD
,,Century Park2,Sat 10/7,11am,AFC 8-10,AFC TBD,AFC TBD
,,Century Park1,Sat 10/7,12pm,AFL 11-14,AFL TBD,AFL TBD
,,Century Park2,Sat 10/7,12pm,AFL 11-14,AFL TBD,AFL TBD
Super Bowl,Week 12,Rec Center,Sat 10/14,1pm,NFC 5-7,NFC highest,NFC lowest
,,Rec Center,Sat 10/14,2:30pm,AFC 8-10,AFC highest,AFC lowest
,,Rec Center,Sat 10/14,4pm,AFL 11-14,AFL highest,AFL lowest
Awards Ceremony,,??,Sun 10/15,??,,,
